,description,number_rates,rating,price,url
10,"L'il Critters Paw Patrol Complete Multivitamin Gummies, 60ct","9,063",4.6,5.98,https://www.amazon.com/Lil-Critters-Complete-Multivitamin-Gummies/dp/B0862QGL36/ref=sr_1_11?keywords=multivitamin+for+kids&qid=1660952859&sr=8-11
11,"Zarbee's Complete Kids Multivitamin Gummies + Immune Support, Children Vitamins Gummy With Vitamin A, C, D3, E, B6, B12, Folic Acid & Total B-complex, 70 Count","29,533",4.6,15.29,https://www.amazon.com/Zarbees-Naturals-Childrens-Multivitamin-Essential/dp/B07BP9BTLY/ref=sr_1_12?keywords=multivitamin+for+kids&qid=1660952859&rdc=1&sr=8-12
12,"Culturelle Kids Multivitamin + Probiotic Gummies, Digestive + Immune Support*, with Lutein to Support Healthy Vision*, Peach-Orange & Mixed Berry Flavor, Gluten Free & Vegan, 60 Count","6,502",4.7,16.99,https://www.amazon.com/gp/bestsellers/hpc/3762131/ref=sr_bs_12_3762131_1
13,"Garden of Life mykind Organics Kids Gummy Vitamins - Fruit - Certified Organic, Non-GMO & Vegan Complete Children's Multi - B12, C & D3 - Gluten, Soy & Dairy Free, 120 Real Fruit Chew Gummies","5,617",4.5,23.37,https://www.amazon.com/Garden-Life-Organics-Certified-Childrens/dp/B06XSCPJZK/ref=sr_1_14?keywords=multivitamin+for+kids&qid=1660952859&rdc=1&sr=8-14
14,"Amazon Brand - Mama Bear Organic Kids Multivitamin, 60 Gummies, 1 Month Supply (Packaging May Vary)","7,847",4.7,8.82,https://www.amazon.com/Amazon-Brand-Organic-Multivitamin-Gummies/dp/B07C2BHFCN/ref=sr_1_15?keywords=multivitamin+for+kids&qid=1660952859&sr=8-15
15,"ONE A DAY Kids Trolls Multivitamin Gummy Vitamins A, B6, B12, C, D, and E, Zinc, Folic Acid and Biotin (Packaging May Vary), Trolls, 180 Count","5,795",4.7,14.99,https://www.amazon.com/Kids-Trolls-Multivitamin-Gummies-Count/dp/B01HDIV58W/ref=sr_1_16?keywords=multivitamin+for+kids&qid=1660952859&rdc=1&sr=8-16
16,"Amazon Brand - Mama Bear Organic Kids Multivitamin, 60 Gummies, 1 Month Supply (Packaging May Vary)","7,847",4.7,8.82,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NTE4MDA1NDA2Mjk3ODMzOjE2NjA5NTI4NTk6c3BfbXRmOjIwMDAxMTk3MTEwNzUzMTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FAmazon-Brand-Organic-Multivitamin-Gummies%2Fdp%2FB07C2BHFCN%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1660952859%26sr%3D8-17-spons%26psc%3D1
17,"Flintstones Chewable Kids Vitamins, Complete Multivitamin for Kids and Toddlers with Iron, Calcium, Vitamin C, Vitamin D & more, 180ct","14,079",4.6,16.79,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NTE4MDA1NDA2Mjk3ODMzOjE2NjA5NTI4NTk6c3BfbXRmOjIwMDA0NzY0MTQ2NTE5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FFlintstones-Vitamins-Childrens-Multivitamin-Supplement%2Fdp%2FB0771WL4SD%2Fref%3Dsr_1_18_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1660952859%26rdc%3D1%26sr%3D8-18-spons%26psc%3D1
18,"ChildLife Essentials, Kids Liquid Multivitamin and Mineral Supplement - Liquid Vitamins for Kids, All-Natural, Gluten-Free, Non-GMO - Natural Orange & Mango Flavor, 8 Ounce Bottle (Pack of 2)","1,291",4.6,26.95,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NTE4MDA1NDA2Mjk3ODMzOjE2NjA5NTI4NTk6c3BfbXRmOjIwMDAyNjg2MTQ5Mzk5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FChildlife-Vitamin-Mineral-Natural-Orange%2Fdp%2FB012ETVGD4%2Fref%3Dsr_1_19_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1660952859%26sr%3D8-19-spons%26psc%3D1
19,"Amazon Brand - Solimo Kids' Multivitamin, 190 Gummies","3,759",4.8,11.88,https://www.amazon.com/Amazon-Brand-Solimo-Multivitamin-Gummies/dp/B08CP6F42J/ref=sr_1_20?keywords=multivitamin+for+kids&qid=1660952859&sr=8-20
20,"Whole Fruit Gummy Vitamins for Kids No Added Sugar, Vegan Kids Multivitamin Gummies, Plant Based Multivitamin for Kids, Whole Foods Toddler Vitamins, Organic Kids Vitamins Chewable 60 Bites Strawberry","1,772",4.3,25.95,https://www.amazon.com/Multivitamin-Organic-Plant-Based-Vitamins-Strawberry/dp/B07PB657SW/ref=sr_1_21?keywords=multivitamin+for+kids&qid=1660952859&sr=8-21
21,"SmartyPants Organic Kids Multivitamin, Daily Gummy Vitamins: Probiotics, Vitamin C, D3, Zinc, & B12 for Immune Support, Energy & Digestive Health, Assorted Fruit Flavor, 120 Gummies, 30 Day Supply","19,989",4.6,15.42,https://www.amazon.com/SmartyPants-Organic-Multivitamin-Daily-Vitamins/dp/B079YXFCWT/ref=sr_1_22?keywords=multivitamin+for+kids&qid=1660952859&sr=8-22
22,"Multivitamin for Women, Men & Kids by MaryRuth's | Liquid Vitamins for Adults & Kids | Mens, Womens Multivitamin with Energy Support and Beauty Booster | Vegan | Non-GMO | Gluten Free | 32 Servings","28,593",4.5,39.95,https://www.amazon.com/gp/bestsellers/hpc/3774431/ref=sr_bs_22_3774431_1
23,"NaturesPlus Animal Parade Source of Life Children's Chewable Multivitamin - 180 Animal Shaped Tablets - Natural Assorted Flavors - Vegetarian, Gluten-Free - 90 Total Servings","1,942",4.7,25.99,https://www.amazon.com/NaturesPlus-Animal-Childrens-Chewable-Multivitamin/dp/B00012NGZI/ref=sr_1_24?keywords=multivitamin+for+kids&qid=1660952859&sr=8-24
24,"Garden of Life Vegetarian Multivitamin Supplement for Kids, Vitamin Code Kids Chewable Raw Whole Food Vitamin with Probiotics, 60 Chewable Bears","3,718",4.1,21.69,https://www.amazon.com/Garden-Life-Vegetarian-Multivitamin-Supplement/dp/B003TTZWZ2/ref=sr_1_25?keywords=multivitamin+for+kids&qid=1660952859&rdc=1&sr=8-25
25,"Premium Liquid Multivitamin For Kids | Sugar Free Kids Vitamins | 100% DV of 14 Vitamins for Kids | Multivitamin for Children Ages 4+ | Great Tasting, Non-GMO, Max 98% Absorption Rate- 16 oz, 32 Serv","3,465",4.6,32.77,https://www.amazon.com/Multivitamin-Superfood-Vitamins-Multi-Vitamin-Children/dp/B01ATYIEV8/ref=sr_1_26?keywords=multivitamin+for+kids&qid=1660952859&sr=8-26
26,"Flintstones Chewable Kids Vitamins, Complete Multivitamin for Kids and Toddlers with Iron, Calcium, Vitamin C, Vitamin D & more, 180ct","14,079",4.6,16.79,https://www.amazon.com/Flintstones-Vitamins-Childrens-Multivitamin-Supplement/dp/B0771WL4SD/ref=sr_1_27?keywords=multivitamin+for+kids&qid=1660952859&rdc=1&sr=8-27
27,"Amazon Brand - Solimo Kids' Multivitamin, 380 Gummies, 2 Gummies per Serving (Pack of 2)","1,127",4.8,17.85,https://www.amazon.com/Amazon-Brand-Multivitamin-Gummies-Serving/dp/B08CP6S9J8/ref=sr_1_28?keywords=multivitamin+for+kids&qid=1660952859&sr=8-28
28,"MegaFood Kids One Daily Tablets, 60 Count","1,071",4.7,25.46,https://www.amazon.com/MegaFood-Multivitamin-Development-Gluten-Free-Mini-Tablets/dp/B004KU4TMG/ref=sr_1_29?keywords=multivitamin+for+kids&qid=1660952859&sr=8-29
29,"Kids Multivitamin Gummies 14 Essential Vitamins Daily Supplement for Ages 2+ Vitamin A, C, D, E Vegetarian B6 & B12, Zinc, Biotin Gummy Multivitamins for Children - All Natural Chewables (120 Count)",638,4.6,21.99,https://www.amazon.com/Multivitamin-Essential-Supplement-Vegetarian-Multivitamins/dp/B08HQNYGL2/ref=sr_1_30?keywords=multivitamin+for+kids&qid=1660952859&sr=8-30
30,"Zahler Junior Multi, Chewable Multivitamin for Kids, Kosher, 90 Chewable Tablets",831,4.6,10.37,https://www.amazon.com/Zahler-Multivitamin-Supplement-Children-Chewable/dp/B00BWSKNYC/ref=sr_1_31?keywords=multivitamin+for+kids&qid=1660952859&sr=8-31
31,"ChildLife Essentials, Kids Liquid Multivitamin and Mineral Supplement - Liquid Vitamins for Kids, All-Natural, Gluten-Free, Non-GMO - Natural Orange & Mango Flavor, 8 Ounce Bottle (Pack of 2)","1,291",4.6,26.95,https://www.amazon.com/Childlife-Vitamin-Mineral-Natural-Orange/dp/B012ETVGD4/ref=sr_1_32?keywords=multivitamin+for+kids&qid=1660952859&sr=8-32
32,"Nordic Naturals Nordic Berries, Cherry Berry - 120 Gummy Berries - Great-Tasting Multivitamin for Ages 2+ - Growth, Development, Optimal Wellness - Non-GMO, Vegetarian - 30 Servings",486,4.5,21.56,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NTE4MDA1NDA2Mjk3ODMzOjE2NjA5NTI4NTk6c3BfbXRmOjIwMDA2MzQzMTg5ODU5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FNordic-Naturals-Berries-Multivitamin-Gummies%2Fdp%2FB01LTHMG3Q%2Fref%3Dsr_1_33_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1660952859%26sr%3D8-33-spons%26psc%3D1
33,"Culturelle Kids Complete Multivitamin + Probiotic Chewable, Digestive & Immune Support for Kids, With 11 Vitamins & Minerals including Vitamin C, D3 and Zinc, Fruit Punch Flavor, 50 Count","3,758",4.8,15.73,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NTE4MDA1NDA2Mjk3ODMzOjE2NjA5NTI4NTk6c3BfbXRmOjIwMDAyNDk3MTk1Njk3MTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FCulturelle-Multivitamin-Probiotic-Supplement-probiotic%25E2%258C%2598%2Fdp%2FB07N7ZM39Z%2Fref%3Dice_ac_b_dpb_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1660952859%26sr%3D8-34-spons%26psc%3D1
34,"Kids Vitamins. Unflavored & Tasteless Liquid Kids Multivitamin. Sugar Free 14-in-1 Vegan Supplement Drops for Kids, Children, Teens. Mix in Juice, Milk, Or Water and Your Kids Won't Even Taste It!",6,3.5,15.95,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NTE4MDA1NDA2Mjk3ODMzOjE2NjA5NTI4NTk6c3BfbXRmOjIwMDA3MDg3MDE5Njg5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FVitamins-Unflavored-Tasteless-Multivitamin-Supplement%2Fdp%2FB0B15PCP4W%2Fref%3Dsr_1_35_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1660952859%26sr%3D8-35-spons%26psc%3D1
35,"Nordic Naturals Nordic Berries, Citrus - 200 Gummy Berries - Great-Tasting Multivitamin for Ages 2+ - Growth, Development, Optimal Wellness - Non-GMO, Vegetarian - 50 Servings","1,852",4.8,31.96,https://www.amazon.com/Nordic-Naturals-Berries-Multivitamin-Treats/dp/B009KTXQW6/ref=sr_1_36?keywords=multivitamin+for+kids&qid=1660952859&sr=8-36
36,"Rainbow Light Kids One Multivitamin With Vitamin B Complex, Fruit Punch Flavor - 90 Tablets (Package May Vary)","2,540",4.4,20.76,https://www.amazon.com/Rainbow-Light-Food-Based-Multivitamin-Gluten-Free/dp/B000EEBWHM/ref=sr_1_37?keywords=multivitamin+for+kids&qid=1660952859&sr=8-37
37,"Doctors Finest Multivitamin Gummies for Kids, with Zinc, Vitamins A, B, C, D & E, Vegetarian, GMO-Free & Gluten Free supplement, Tooth Friendly, Great Tasting Fruit Flavors Pectin Chews, 120 Jellies","1,343",4.5,20.49,https://www.amazon.com/Multivitamin-Vitamins-Vegetarian-GMO-Free-supplement/dp/B07K2HFCCQ/ref=sr_1_38?keywords=multivitamin+for+kids&qid=1660952859&sr=8-38
38,"Nature's Way Alive! Kids Chewable Multivitamin, Gluten Free, 120 Chewable Tablets","5,134",4.3,16.98,https://www.amazon.com/Natures-Way-Childrens-Chewable-Multivitamin/dp/B005XNXCMC/ref=sr_1_39?keywords=multivitamin+for+kids&qid=1660952859&sr=8-39
39,L'il Critters LOL Surprise Complete Multivitamin Gummies 190 Count (Pack of 1),"1,040",4.6,11.88,https://www.amazon.com/Lil-Critters-Surprise-Complete-Multivitamin/dp/B0009DY1SK/ref=sr_1_40?keywords=multivitamin+for+kids&qid=1660952859&sr=8-40
40,Vital Vits Kids Vitamins for Immune Support - Daily Multivitamin with Burdock Root & Elderberry for Kids Immune Booster - Everyday Essentials Liquid Multivitamin & Daily Greens Immune Support 2oz,"2,324",4.5,40.99,https://www.amazon.com/Liquid-Vitamins-Kids-Multivitamins-Childrens/dp/B08DW6D5VR/ref=sr_1_41?keywords=multivitamin+for+kids&qid=1660952859&sr=8-41
41,"ChildLife Essentials, Kids Liquid Multivitamin and Mineral Supplement - Liquid Vitamins for Kids, All-Natural, Gluten-Free, Non-GMO - Natural Orange & Mango Flavor, 8 Fl Oz Bottle",982,4.6,14.48,https://www.amazon.com/ChildLife-Essentials-Vitamin-Mineral-Natural/dp/B001E123JA/ref=sr_1_42?keywords=multivitamin+for+kids&qid=1660952859&sr=8-42
42,Multivitamin for Kids | Sugar Free Kids Multivitamin | Liquid Vitamins for Kids | Immune Support Supplement | Cognitive Health & Overall Wellness | Vegan | Non-GMO | 15.22 Fl Oz,"1,263",4.1,29.95,https://www.amazon.com/Multivitamin-Absorption-Liposomal-Cognitive-Formulated/dp/B09FRF67Y2/ref=sr_1_43?keywords=multivitamin+for+kids&qid=1660952859&sr=8-43
43,"SHIFAA NUTRITION Halal Gummy Vitamins for Kids | 45-90 Days Supply | Has All Essential Kids Vitamins C, D, Zinc, A, E, B6, B12, Biotin | Non-GMO & Vegetarian | Free of Gluten, Gelatin, Peanut & Dairy",947,4.7,16.97,https://www.amazon.com/SHIFAA-NUTRITION-Vegetarian-Vitamins-Preservatives/dp/B07JFP3L1H/ref=sr_1_44?keywords=multivitamin+for+kids&qid=1660952859&sr=8-44
44,"Centrum Kids' Organic Multigummies, Kids Multivitamin Gummies, Organic Multivitamin for Kids with Essential Nutrients for Immune Support, Muscle Function, and Brain Health - 90 Count",906,4.7,21.09,https://www.amazon.com/Centrum-Multigummies-Multivitamin-Essential-Nutrients/dp/B093TGWZHC/ref=sr_1_45?keywords=multivitamin+for+kids&qid=1660952859&sr=8-45
45,"ChildLife Essentials, Kids Liquid Multivitamin and Mineral Supplement - Liquid Vitamins for Kids, All-Natural, Gluten-Free, Non-GMO - Natural Orange & Mango Flavor, 8 Fl Oz Bottle (Pack of 2)",928,4.6,25.24,https://www.amazon.com/ChildLife-Essentials-Vitamin-Toddlers-Children/dp/B00TFXRB3W/ref=sr_1_46?keywords=multivitamin+for+kids&qid=1660952859&sr=8-46
46,"Doctors Finest Multivitamin & Multimineral with Iron Chewables for Kids – Vegetarian – Gluten Free Vegetarian – Great Tasting - Natural Flavored Pectin Chews with Vitamins A, B, C, D & E – 150 Count",575,4.5,19.99,https://www.amazon.com/Doctors-Finest-Multivitamin-Multimineral-Chewables/dp/B07QT6SGLV/ref=sr_1_47?keywords=multivitamin+for+kids&qid=1660952859&sr=8-47
47,NATURELO Whole Food Vitamin Gummies for Kids - Chewable Gummy Multivitamin for Children - Non-GMO - with Vitamins & Minerals - 90 Vegan Gummies,"1,405",4.2,29.95,https://www.amazon.com/NATURELO-Whole-Food-Vitamin-Gummies/dp/B078P35YC2/ref=sr_1_48?keywords=multivitamin+for+kids&qid=1660952859&sr=8-48
48,"Kids Multivitamin Gummies - Sugar Free Immune Support - Natural Complete Daily Supplement - Multi with Vitamins A, C, E, D3 B6, B12, Zinc Natural, for Boys and Girls, Vegetarian, Non-GMO - 60 Gummies",276,4.7,8.42,https://www.amazon.com/Kids-Multivitamin-Gummies-Extra-Strength/dp/B08DW6XWHV/ref=sr_1_49?keywords=multivitamin+for+kids&qid=1660952859&sr=8-49
49,"Flintstones SuperBeans, Kids Multivitamin with Immunity Support with Vitamins A, D, Iodine & Zinc to Support Healthy Growth, Fruit Flavored, Vegetarian, Jelly Bean Chews, 90 Count (Packaging may vary)","1,338",4.6,9.97,https://www.amazon.com/Flintstones-SuperBeans-Multivitamin-Vitamins-Development/dp/B08X8FSL6C/ref=sr_1_50?keywords=multivitamin+for+kids&qid=1660952859&rdc=1&sr=8-50
50,"Super Mini-Multi - Children's Multivitamin Swallowable Capsules with Methyl Folate, Methyl B12 and Coenzyme B Vitamins for Growth, Focus, Brain Health (120 Capsules)",450,4.6,19.99,https://www.amazon.com/Super-Mini-Multi-Superior-Childrens-Multivitamin/dp/B008RGIYTS/ref=sr_1_51?keywords=multivitamin+for+kids&qid=1660952859&sr=8-51
51,"NUTRAMIN Sugar-Free, Allergen-Free & Vegan Gummy Multivitamins for Kids - Great Tasting Gummies Your Kids Will Love - 90 Count Bottle by Nutracelle","1,061",4.7,19.99,https://www.amazon.com/NUTRAMIN-Multivitamins-Sugar-Free-Vitamins-Multivitamin/dp/B08769RDTN/ref=sr_1_52?keywords=multivitamin+for+kids&qid=1660952859&sr=8-52
52,"ChildLife Essentials, Kids Liquid Multivitamin and Mineral Supplement - Liquid Vitamins for Kids, All-Natural, Gluten-Free, Non-GMO - Natural Orange & Mango Flavor, 8 Ounce Bottle","2,738",4.5,11.06,https://www.amazon.com/ChildLife-Essentials-Vitamin-Toddlers-Children/dp/B00016QUJI/ref=sr_1_53_f3_0o_wf?keywords=multivitamin+for+kids&qid=1660952859&sr=8-53
53,"Flintstones Gummies Kids Vitamins, Gummy Multivitamin for Kids and Toddlers with Vitamins A, B6, B12, C, E, Zinc & more, 180ct","7,560",4.8,13.92,https://www.amazon.com/Flintstones-Childrens-Complete-Multivitamin-Gummies/dp/B00BV47LQA/ref=sr_1_54?keywords=multivitamin+for+kids&qid=1660952859&rdc=1&sr=8-54
54,"Renzo's Picky Eater Kids Multivitamin - Vegan Multivitamin for Kids with Iron, Vitamin C, and Zero Sugar, Dissolvable and Easy To Take Kids Vitamins, Cherry Flavored Childrens Vitamins [60 Melty Tabs]","3,534",4.4,25.99,https://www.amazon.com/Renzos-Dissolvable-Vitamins-Cherry-Flavor/dp/B06XXQNYXG/ref=sr_1_55?keywords=multivitamin+for+kids&qid=1660952859&sr=8-55
55,NATURELO Chewable Vitamin for Kids – Multivitamin with Whole Food Organic Fruit Blend - 60 Tablets for Children,966,3.9,24.95,https://www.amazon.com/NATURELO-Chewable-Vitamin-Kids-Multivitamin/dp/B09NL81YTF/ref=sr_1_56?keywords=multivitamin+for+kids&qid=1660952859&sr=8-56
56,"Kids Multivitamin + Iron Gummies by Squiggles 100ct. | All-Natural, Low Sugar, and Super Yummy | Broad Spectrum of Vitamins and Minerals with a Boost of Iron.","1,551",4.1,26.95,https://www.amazon.com/Multivitamin-Squiggles-All-Natural-Spectrum-Vitamins/dp/B07J1YC8B9/ref=sr_1_57?keywords=multivitamin+for+kids&qid=1660952859&sr=8-57
57,"Nordic Naturals Zero Sugar Kids Multi Gummies, Orange Lemon - 120 Gummies - Great-Tasting Multivitamin for Ages 4+ - Supports Growth & Development - Non-GMO, Vegetarian - 30 Servings",201,4.3,27.96,https://www.amazon.com/Nordic-Naturals-Sugar-Gummies-Orange/dp/B08H3H9XJD/ref=sr_1_58?keywords=multivitamin+for+kids&qid=1660952859&sr=8-58
58,"OLLY Kids Multivitamin Gummy Worms, Overall Health and Immune Support, Vitamins and Minerals A, C, D, E, Bs and Zinc, Kids Chewable Supplement, Sour Fruit Punch, 45 Day Supply - 70 Count","20,431",4.7,12.88,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NTE4MDA1NDA2Mjk3ODMzOjE2NjA5NTI4NTk6c3BfYnRmOjIwMDAzNTYwNTg4ODY5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FMultivitamin-Essential-Vitamins-Minerals-Fruity%2Fdp%2FB087GKQHGP%2Fref%3Dsr_1_59_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1660952859%26sr%3D8-59-spons%26psc%3D1
59,"L'il Critters Kids Calcium Gummy Bears with Vitamin D3 , 150ct","6,516",4.7,12.77,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NTE4MDA1NDA2Mjk3ODMzOjE2NjA5NTI4NTk6c3BfYnRmOjIwMDA3MjAxMjQ4MzM5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FLil-Critters-Calcium-Vitamin-Supplement%2Fdp%2FB00421MNIU%2Fref%3Dsr_1_60_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1660952859%26sr%3D8-60-spons%26psc%3D1
60,"Centrum Kids Multivitamin Gummies, Tropical Punch Flavor Made with Natural Flavors, 110 Count, 110 Day Supply",353,4.8,10.47,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A00169183KVV49W94TP6S&url=%2FCentrum-Multivitamin-Gummies-Tropical-Natural%2Fdp%2FB09WYRNPLJ%2Fref%3Dsr_1_49_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1660952871%26sr%3D8-49-spons%26psc%3D1&qualifier=1660952871&id=2274841925263096&widgetName=sp_atf_next
61,"ChildLife Essentials, Kids Liquid Multivitamin and Mineral Supplement - Liquid Vitamins for Kids, All-Natural, Gluten-Free, Non-GMO - Natural Orange & Mango Flavor, 8 Ounce Bottle (Pack of 2)","1,291",4.6,26.95,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A10059391FD4OXGLIL5D6&url=%2FChildlife-Vitamin-Mineral-Natural-Orange%2Fdp%2FB012ETVGD4%2Fref%3Dsr_1_50_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1660952871%26sr%3D8-50-spons%26psc%3D1&qualifier=1660952871&id=2274841925263096&widgetName=sp_atf_next
